EmployeeId,FIRST_NAME,LAST_NAME,BIRTHDAY,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,AGE,SALARY,COMMISSION,ManagerId,DepartmentId,Name
198,Donald,OConnell,1969-02-11 00:00:00.000,DOCONNEL@chts.ca,650.507.9833,2020-06-21 00:00:00.000,Salesperson,56,2600,0.02,124,50,Donald OConnell
199,Douglas,Grant,1987-08-19 00:00:00.000,DGRANT@chts.ca,650.507.9844,2020-01-13 00:00:00.000,Salesperson,37,2600,0.02,124,50,Douglas Grant
200,Jennifer,Whalen,1974-08-10 00:00:00.000,JWHALEN@chts.ca,515.123.4444,2019-09-17 00:00:00.000,Executive Assistant,50,4400,NULL,100,90,Jennifer Whalen
201,Michael,Hartstein,1963-05-12 00:00:00.000,MHARTSTE@chts.ca,515.123.5555,2021-02-17 00:00:00.000,Marketing_Manager,62,13000,NULL,101,50,Michael Hartstein
202,Pat,Fay,1984-06-15 00:00:00.000,PFAY@chts.ca,603.123.6666,2022-08-17 00:00:00.000,Marketing_Assistant,40,6000,NULL,201,50,Pat Fay
203,Susan,Mavris,1987-02-07 00:00:00.000,SMAVRIS@chts.ca,515.123.7777,2019-06-07 00:00:00.000,HR_Assistant,38,6500,NULL,204,40,Susan Mavris
204,Hermann,Baer,1968-09-19 00:00:00.000,HBAER@chts.ca,515.123.8888,2019-06-07 00:00:00.000,HR_Manager,56,10000,NULL,102,40,Hermann Baer
205,Shelley,Higgins,1975-08-08 00:00:00.000,SHIGGINS@chts.ca,515.123.8080,2019-06-07 00:00:00.000,Accounting Manager,49,12008,NULL,102,110,Shelley Higgins
206,William,Gietz,1971-02-19 00:00:00.000,WGIETZ@chts.ca,515.123.8181,2002-06-07 00:00:00.000,Accountant,54,8300,NULL,205,110,William Gietz
100,Steven,King,1966-02-14 00:00:00.000,SKING@chts.ca,515.123.4567,2019-06-17 00:00:00.000,Pesident,59,24000,NULL,NULL,90,Steven King
101,Neena,Kochhar,1974-02-19 00:00:00.000,NKOCHHAR@chts.ca,515.123.4568,2021-09-21 00:00:00.000,VP,51,17000,NULL,100,90,Neena Kochhar
102,Lex,De Haan,1983-02-21 00:00:00.000,LDEHAAN@chts.ca,515.123.4569,2019-01-13 00:00:00.000,VP,42,17000,NULL,100,90,Lex De Haan
103,Alexander,Hunold,1984-03-29 00:00:00.000,AHUNOLD@chts.ca,590.423.4567,2021-01-03 00:00:00.000,IT_Manager,41,19000,NULL,102,60,Alexander Hunold
104,Bruce,Ernst,1974-04-18 00:00:00.000,BERNST@chts.ca,590.423.4568,2020-05-21 00:00:00.000,IT_clerk,51,6000,NULL,103,60,Bruce Ernst
